Vardas              Pavarde             Egzaminas           Rezultatas          
Vardenis28          Pavardenis28        5                   5                   
Vardenis322         Pavardenis322       5                   5                   
Vardenis513         Pavardenis513       5                   5                   
Vardenis667         Pavardenis667       5                   5                   
Vardenis782         Pavardenis782       5                   5                   
Vardenis1264        Pavardenis1264      5                   5                   
Vardenis1349        Pavardenis1349      5                   5                   
Vardenis1626        Pavardenis1626      5                   5                   
Vardenis1850        Pavardenis1850      5                   5                   
Vardenis1914        Pavardenis1914      5                   5                   
Vardenis2150        Pavardenis2150      5                   5                   
Vardenis2228        Pavardenis2228      5                   5                   
Vardenis2308        Pavardenis2308      5                   5                   
Vardenis2309        Pavardenis2309      5                   5                   
Vardenis2893        Pavardenis2893      5                   5                   
Vardenis2902        Pavardenis2902      5                   5                   
Vardenis3184        Pavardenis3184      5                   5                   
Vardenis3304        Pavardenis3304      5                   5                   
Vardenis3331        Pavardenis3331      5                   5                   
Vardenis4866        Pavardenis4866      5                   5                   
Vardenis7536        Pavardenis7536      5                   5                   
Vardenis7839        Pavardenis7839      5                   5                   
Vardenis8044        Pavardenis8044      5                   5                   
Vardenis8148        Pavardenis8148      5                   5                   
Vardenis8251        Pavardenis8251      5                   5                   
Vardenis8431        Pavardenis8431      5                   5                   
Vardenis8515        Pavardenis8515      5                   5                   
Vardenis8673        Pavardenis8673      5                   5                   
Vardenis9057        Pavardenis9057      5                   5                   
Vardenis9785        Pavardenis9785      5                   5                   
Vardenis9821        Pavardenis9821      5                   5                   
Vardenis265         Pavardenis265       4                   5.01                
Vardenis1752        Pavardenis1752      4                   5.01                
Vardenis2032        Pavardenis2032      4                   5.01                
Vardenis2087        Pavardenis2087      4                   5.01                
Vardenis2307        Pavardenis2307      4                   5.01                
Vardenis6034        Pavardenis6034      4                   5.01                
Vardenis6343        Pavardenis6343      4                   5.01                
Vardenis6555        Pavardenis6555      4                   5.01                
Vardenis7489        Pavardenis7489      4                   5.01                
Vardenis8584        Pavardenis8584      4                   5.01                
Vardenis8690        Pavardenis8690      6                   5.01                
Vardenis27          Pavardenis27        5                   5.03                
Vardenis225         Pavardenis225       5                   5.03                
Vardenis454         Pavardenis454       3                   5.03                
Vardenis1034        Pavardenis1034      5                   5.03                
Vardenis1236        Pavardenis1236      5                   5.03                
Vardenis1535        Pavardenis1535      5                   5.03                
Vardenis1868        Pavardenis1868      5                   5.03                
Vardenis2168        Pavardenis2168      5                   5.03                
Vardenis2635        Pavardenis2635      5                   5.03                
Vardenis3002        Pavardenis3002      5                   5.03                
Vardenis4052        Pavardenis4052      5                   5.03                
Vardenis4215        Pavardenis4215      5                   5.03                
Vardenis4322        Pavardenis4322      5                   5.03                
Vardenis5199        Pavardenis5199      5                   5.03                
Vardenis5249        Pavardenis5249      5                   5.03                
Vardenis5315        Pavardenis5315      5                   5.03                
Vardenis5445        Pavardenis5445      5                   5.03                
Vardenis6170        Pavardenis6170      5                   5.03                
Vardenis6787        Pavardenis6787      5                   5.03                
Vardenis6857        Pavardenis6857      5                   5.03                
Vardenis7700        Pavardenis7700      5                   5.03                
Vardenis7716        Pavardenis7716      5                   5.03                
Vardenis8257        Pavardenis8257      5                   5.03                
Vardenis9027        Pavardenis9027      5                   5.03                
Vardenis9195        Pavardenis9195      5                   5.03                
Vardenis9365        Pavardenis9365      5                   5.03                
Vardenis52          Pavardenis52        4                   5.04                
Vardenis1442        Pavardenis1442      4                   5.04                
Vardenis2627        Pavardenis2627      4                   5.04                
Vardenis3283        Pavardenis3283      6                   5.04                
Vardenis3807        Pavardenis3807      4                   5.04                
Vardenis4458        Pavardenis4458      4                   5.04                
Vardenis4666        Pavardenis4666      4                   5.04                
Vardenis4673        Pavardenis4673      4                   5.04                
Vardenis4750        Pavardenis4750      4                   5.04                
Vardenis5950        Pavardenis5950      4                   5.04                
Vardenis6269        Pavardenis6269      4                   5.04                
Vardenis7915        Pavardenis7915      4                   5.04                
Vardenis8113        Pavardenis8113      4                   5.04                
Vardenis8733        Pavardenis8733      6                   5.04                
Vardenis229         Pavardenis229       5                   5.05                
Vardenis242         Pavardenis242       5                   5.05                
Vardenis929         Pavardenis929       5                   5.05                
Vardenis1180        Pavardenis1180      5                   5.05                
Vardenis1250        Pavardenis1250      5                   5.05                
Vardenis1333        Pavardenis1333      5                   5.05                
Vardenis1466        Pavardenis1466      5                   5.05                
Vardenis1866        Pavardenis1866      5                   5.05                
Vardenis1997        Pavardenis1997      5                   5.05                
Vardenis2079        Pavardenis2079      5                   5.05                
Vardenis2295        Pavardenis2295      5                   5.05                
Vardenis2314        Pavardenis2314      5                   5.05                
Vardenis2323        Pavardenis2323      5                   5.05                
Vardenis2713        Pavardenis2713      5                   5.05                
Vardenis2737        Pavardenis2737      5                   5.05                
Vardenis2796        Pavardenis2796      5                   5.05                
Vardenis2958        Pavardenis2958      5                   5.05                
Vardenis3500        Pavardenis3500      5                   5.05                
Vardenis3771        Pavardenis3771      5                   5.05                
Vardenis3980        Pavardenis3980      5                   5.05                
Vardenis4223        Pavardenis4223      5                   5.05                
Vardenis4226        Pavardenis4226      5                   5.05                
Vardenis4347        Pavardenis4347      5                   5.05                
Vardenis4922        Pavardenis4922      5                   5.05                
Vardenis5340        Pavardenis5340      5                   5.05                
Vardenis5695        Pavardenis5695      5                   5.05                
Vardenis5880        Pavardenis5880      5                   5.05                
Vardenis5942        Pavardenis5942      5                   5.05                
Vardenis6044        Pavardenis6044      5                   5.05                
Vardenis6219        Pavardenis6219      5                   5.05                
Vardenis6739        Pavardenis6739      5                   5.05                
Vardenis7308        Pavardenis7308      5                   5.05                
Vardenis7340        Pavardenis7340      5                   5.05                
Vardenis7671        Pavardenis7671      5                   5.05                
Vardenis7767        Pavardenis7767      5                   5.05                
Vardenis7935        Pavardenis7935      5                   5.05                
Vardenis8736        Pavardenis8736      5                   5.05                
Vardenis8744        Pavardenis8744      5                   5.05                
Vardenis8952        Pavardenis8952      5                   5.05                
Vardenis9675        Pavardenis9675      5                   5.05                
Vardenis9741        Pavardenis9741      5                   5.05                
Vardenis9953        Pavardenis9953      5                   5.05                
Vardenis1628        Pavardenis1628      6                   5.07                
Vardenis2431        Pavardenis2431      4                   5.07                
Vardenis2639        Pavardenis2639      4                   5.07                
Vardenis3067        Pavardenis3067      4                   5.07                
Vardenis4661        Pavardenis4661      4                   5.07                
Vardenis4839        Pavardenis4839      4                   5.07                
Vardenis5485        Pavardenis5485      4                   5.07                
Vardenis7390        Pavardenis7390      4                   5.07                
Vardenis7422        Pavardenis7422      4                   5.07                
Vardenis8495        Pavardenis8495      4                   5.07                
Vardenis8799        Pavardenis8799      6                   5.07                
Vardenis8825        Pavardenis8825      4                   5.07                
Vardenis9150        Pavardenis9150      4                   5.07                
Vardenis9333        Pavardenis9333      4                   5.07                
Vardenis9781        Pavardenis9781      4                   5.07                
Vardenis284         Pavardenis284       5                   5.08                
Vardenis1289        Pavardenis1289      5                   5.08                
Vardenis1343        Pavardenis1343      5                   5.08                
Vardenis1560        Pavardenis1560      5                   5.08                
Vardenis1639        Pavardenis1639      5                   5.08                
Vardenis2036        Pavardenis2036      5                   5.08                
Vardenis2179        Pavardenis2179      5                   5.08                
Vardenis2666        Pavardenis2666      5                   5.08                
Vardenis2900        Pavardenis2900      5                   5.08                
Vardenis3279        Pavardenis3279      5                   5.08                
Vardenis3626        Pavardenis3626      5                   5.08                
Vardenis4154        Pavardenis4154      5                   5.08                
Vardenis4312        Pavardenis4312      5                   5.08                
Vardenis5361        Pavardenis5361      5                   5.08                
Vardenis5464        Pavardenis5464      5                   5.08                
Vardenis5823        Pavardenis5823      5                   5.08                
Vardenis6068        Pavardenis6068      5                   5.08                
Vardenis6411        Pavardenis6411      5                   5.08                
Vardenis6560        Pavardenis6560      5                   5.08                
Vardenis7103        Pavardenis7103      5                   5.08                
Vardenis7793        Pavardenis7793      5                   5.08                
Vardenis8391        Pavardenis8391      5                   5.08                
Vardenis8654        Pavardenis8654      5                   5.08                
Vardenis9080        Pavardenis9080      5                   5.08                
Vardenis9670        Pavardenis9670      5                   5.08                
Vardenis1016        Pavardenis1016      4                   5.09                
Vardenis1064        Pavardenis1064      4                   5.09                
Vardenis1067        Pavardenis1067      4                   5.09                
Vardenis1114        Pavardenis1114      4                   5.09                
Vardenis2180        Pavardenis2180      4                   5.09                
Vardenis3802        Pavardenis3802      4                   5.09                
Vardenis4808        Pavardenis4808      4                   5.09                
Vardenis4840        Pavardenis4840      4                   5.09                
Vardenis6807        Pavardenis6807      4                   5.09                
Vardenis9352        Pavardenis9352      4                   5.09                
Vardenis641         Pavardenis641       5                   5.11                
Vardenis1076        Pavardenis1076      5                   5.11                
Vardenis1407        Pavardenis1407      5                   5.11                
Vardenis1419        Pavardenis1419      5                   5.11                
Vardenis1527        Pavardenis1527      5                   5.11                
Vardenis1856        Pavardenis1856      5                   5.11                
Vardenis2016        Pavardenis2016      5                   5.11                
Vardenis2072        Pavardenis2072      5                   5.11                
Vardenis2199        Pavardenis2199      5                   5.11                
Vardenis2332        Pavardenis2332      5                   5.11                
Vardenis2496        Pavardenis2496      5                   5.11                
Vardenis2643        Pavardenis2643      5                   5.11                
Vardenis2669        Pavardenis2669      5                   5.11                
Vardenis2805        Pavardenis2805      5                   5.11                
Vardenis2929        Pavardenis2929      5                   5.11                
Vardenis2941        Pavardenis2941      5                   5.11                
Vardenis3486        Pavardenis3486      5                   5.11                
Vardenis3821        Pavardenis3821      5                   5.11                
Vardenis3846        Pavardenis3846      5                   5.11                
Vardenis3856        Pavardenis3856      5                   5.11                
Vardenis4013        Pavardenis4013      5                   5.11                
Vardenis4073        Pavardenis4073      5                   5.11                
Vardenis4197        Pavardenis4197      5                   5.11                
Vardenis4773        Pavardenis4773      5                   5.11                
Vardenis4782        Pavardenis4782      5                   5.11                
Vardenis5509        Pavardenis5509      5                   5.11                
Vardenis5673        Pavardenis5673      5                   5.11                
Vardenis5694        Pavardenis5694      5                   5.11                
Vardenis5938        Pavardenis5938      5                   5.11                
Vardenis6308        Pavardenis6308      5                   5.11                
Vardenis6337        Pavardenis6337      5                   5.11                
Vardenis6501        Pavardenis6501      5                   5.11                
Vardenis6748        Pavardenis6748      5                   5.11                
Vardenis6886        Pavardenis6886      5                   5.11                
Vardenis6971        Pavardenis6971      5                   5.11                
Vardenis7692        Pavardenis7692      5                   5.11                
Vardenis7817        Pavardenis7817      5                   5.11                
Vardenis9140        Pavardenis9140      5                   5.11                
Vardenis9834        Pavardenis9834      5                   5.11                
Vardenis932         Pavardenis932       4                   5.12                
Vardenis3336        Pavardenis3336      4                   5.12                
Vardenis4082        Pavardenis4082      4                   5.12                
Vardenis4877        Pavardenis4877      4                   5.12                
Vardenis5551        Pavardenis5551      4                   5.12                
Vardenis6254        Pavardenis6254      6                   5.12                
Vardenis6507        Pavardenis6507      4                   5.12                
Vardenis8146        Pavardenis8146      4                   5.12                
Vardenis9128        Pavardenis9128      6                   5.12                
Vardenis9724        Pavardenis9724      4                   5.12                
Vardenis117         Pavardenis117       5                   5.13                
Vardenis140         Pavardenis140       5                   5.13                
Vardenis963         Pavardenis963       5                   5.13                
Vardenis1297        Pavardenis1297      5                   5.13                
Vardenis1759        Pavardenis1759      5                   5.13                
Vardenis2257        Pavardenis2257      5                   5.13                
Vardenis2274        Pavardenis2274      5                   5.13                
Vardenis2467        Pavardenis2467      5                   5.13                
Vardenis2726        Pavardenis2726      5                   5.13                
Vardenis3684        Pavardenis3684      5                   5.13                
Vardenis3831        Pavardenis3831      5                   5.13                
Vardenis4405        Pavardenis4405      5                   5.13                
Vardenis4550        Pavardenis4550      5                   5.13                
Vardenis5459        Pavardenis5459      5                   5.13                
Vardenis6603        Pavardenis6603      5                   5.13                
Vardenis6875        Pavardenis6875      5                   5.13                
Vardenis7237        Pavardenis7237      5                   5.13                
Vardenis7371        Pavardenis7371      5                   5.13                
Vardenis8484        Pavardenis8484      5                   5.13                
Vardenis8758        Pavardenis8758      5                   5.13                
Vardenis9059        Pavardenis9059      5                   5.13                
Vardenis9097        Pavardenis9097      5                   5.13                
Vardenis9114        Pavardenis9114      5                   5.13                
Vardenis9259        Pavardenis9259      5                   5.13                
Vardenis9599        Pavardenis9599      5                   5.13                
Vardenis9642        Pavardenis9642      5                   5.13                
Vardenis531         Pavardenis531       4                   5.15                
Vardenis607         Pavardenis607       6                   5.15                
Vardenis949         Pavardenis949       4                   5.15                
Vardenis1935        Pavardenis1935      4                   5.15                
Vardenis2164        Pavardenis2164      4                   5.15                
Vardenis2517        Pavardenis2517      4                   5.15                
Vardenis4570        Pavardenis4570      4                   5.15                
Vardenis4812        Pavardenis4812      4                   5.15                
Vardenis5077        Pavardenis5077      6                   5.15                
Vardenis5404        Pavardenis5404      4                   5.15                
Vardenis5669        Pavardenis5669      4                   5.15                
Vardenis5684        Pavardenis5684      6                   5.15                
Vardenis7602        Pavardenis7602      6                   5.15                
Vardenis7840        Pavardenis7840      4                   5.15                
Vardenis8503        Pavardenis8503      4                   5.15                
Vardenis9154        Pavardenis9154      4                   5.15                
Vardenis236         Pavardenis236       5                   5.16                
Vardenis785         Pavardenis785       5                   5.16                
Vardenis954         Pavardenis954       5                   5.16                
Vardenis1043        Pavardenis1043      5                   5.16                
Vardenis1862        Pavardenis1862      5                   5.16                
Vardenis1986        Pavardenis1986      5                   5.16                
Vardenis2055        Pavardenis2055      5                   5.16                
Vardenis2881        Pavardenis2881      5                   5.16                
Vardenis3587        Pavardenis3587      5                   5.16                
Vardenis4029        Pavardenis4029      5                   5.16                
Vardenis4265        Pavardenis4265      5                   5.16                
Vardenis4343        Pavardenis4343      5                   5.16                
Vardenis5858        Pavardenis5858      5                   5.16                
Vardenis6048        Pavardenis6048      5                   5.16                
Vardenis6563        Pavardenis6563      5                   5.16                
Vardenis6660        Pavardenis6660      5                   5.16                
Vardenis6664        Pavardenis6664      5                   5.16                
Vardenis6759        Pavardenis6759      5                   5.16                
Vardenis6765        Pavardenis6765      5                   5.16                
Vardenis6847        Pavardenis6847      5                   5.16                
Vardenis7339        Pavardenis7339      5                   5.16                
Vardenis7941        Pavardenis7941      5                   5.16                
Vardenis8528        Pavardenis8528      5                   5.16                
Vardenis9068        Pavardenis9068      5                   5.16                
Vardenis9382        Pavardenis9382      5                   5.16                
Vardenis9747        Pavardenis9747      5                   5.16                
Vardenis9799        Pavardenis9799      5                   5.16                
Vardenis9828        Pavardenis9828      5                   5.16                
Vardenis10000       Pavardenis10000     5                   5.16                
Vardenis817         Pavardenis817       6                   5.17                
Vardenis1577        Pavardenis1577      4                   5.17                
Vardenis1879        Pavardenis1879      4                   5.17                
Vardenis3108        Pavardenis3108      6                   5.17                
Vardenis6130        Pavardenis6130      4                   5.17                
Vardenis6278        Pavardenis6278      4                   5.17                
Vardenis7080        Pavardenis7080      4                   5.17                
Vardenis32          Pavardenis32        5                   5.19                
Vardenis506         Pavardenis506       5                   5.19                
Vardenis522         Pavardenis522       5                   5.19                
Vardenis804         Pavardenis804       5                   5.19                
Vardenis1925        Pavardenis1925      5                   5.19                
Vardenis2383        Pavardenis2383      5                   5.19                
Vardenis2673        Pavardenis2673      5                   5.19                
Vardenis3196        Pavardenis3196      5                   5.19                
Vardenis3494        Pavardenis3494      5                   5.19                
Vardenis3563        Pavardenis3563      5                   5.19                
Vardenis3617        Pavardenis3617      5                   5.19                
Vardenis3868        Pavardenis3868      5                   5.19                
Vardenis3929        Pavardenis3929      5                   5.19                
Vardenis4244        Pavardenis4244      5                   5.19                
Vardenis4370        Pavardenis4370      5                   5.19                
Vardenis4576        Pavardenis4576      5                   5.19                
Vardenis4749        Pavardenis4749      5                   5.19                
Vardenis4901        Pavardenis4901      5                   5.19                
Vardenis5227        Pavardenis5227      5                   5.19                
Vardenis5240        Pavardenis5240      5                   5.19                
Vardenis5272        Pavardenis5272      5                   5.19                
Vardenis5350        Pavardenis5350      5                   5.19                
Vardenis5693        Pavardenis5693      5                   5.19                
Vardenis6037        Pavardenis6037      5                   5.19                
Vardenis6302        Pavardenis6302      5                   5.19                
Vardenis6415        Pavardenis6415      5                   5.19                
Vardenis6440        Pavardenis6440      5                   5.19                
Vardenis6915        Pavardenis6915      5                   5.19                
Vardenis7224        Pavardenis7224      5                   5.19                
Vardenis7646        Pavardenis7646      5                   5.19                
Vardenis7678        Pavardenis7678      5                   5.19                
Vardenis8539        Pavardenis8539      5                   5.19                
Vardenis8682        Pavardenis8682      5                   5.19                
Vardenis8906        Pavardenis8906      5                   5.19                
Vardenis9158        Pavardenis9158      5                   5.19                
Vardenis9329        Pavardenis9329      5                   5.19                
Vardenis9511        Pavardenis9511      5                   5.19                
Vardenis9873        Pavardenis9873      5                   5.19                
Vardenis1123        Pavardenis1123      4                   5.2                 
Vardenis1859        Pavardenis1859      6                   5.2                 
Vardenis2033        Pavardenis2033      6                   5.2                 
Vardenis2254        Pavardenis2254      4                   5.2                 
Vardenis2469        Pavardenis2469      6                   5.2                 
Vardenis2943        Pavardenis2943      4                   5.2                 
Vardenis3558        Pavardenis3558      4                   5.2                 
Vardenis4163        Pavardenis4163      6                   5.2                 
Vardenis4305        Pavardenis4305      6                   5.2                 
Vardenis4863        Pavardenis4863      6                   5.2                 
Vardenis4908        Pavardenis4908      6                   5.2                 
Vardenis7355        Pavardenis7355      4                   5.2                 
Vardenis7529        Pavardenis7529      6                   5.2                 
Vardenis7621        Pavardenis7621      6                   5.2                 
Vardenis492         Pavardenis492       5                   5.21                
Vardenis874         Pavardenis874       5                   5.21                
Vardenis1708        Pavardenis1708      5                   5.21                
Vardenis2213        Pavardenis2213      5                   5.21                
Vardenis2354        Pavardenis2354      5                   5.21                
Vardenis2367        Pavardenis2367      5                   5.21                
Vardenis2385        Pavardenis2385      5                   5.21                
Vardenis2820        Pavardenis2820      5                   5.21                
Vardenis2968        Pavardenis2968      5                   5.21                
Vardenis3972        Pavardenis3972      5                   5.21                
Vardenis4286        Pavardenis4286      5                   5.21                
Vardenis5173        Pavardenis5173      5                   5.21                
Vardenis5323        Pavardenis5323      5                   5.21                
Vardenis5419        Pavardenis5419      5                   5.21                
Vardenis6052        Pavardenis6052      5                   5.21                
Vardenis6067        Pavardenis6067      5                   5.21                
Vardenis6315        Pavardenis6315      5                   5.21                
Vardenis6416        Pavardenis6416      5                   5.21                
Vardenis7427        Pavardenis7427      5                   5.21                
Vardenis7593        Pavardenis7593      5                   5.21                
Vardenis7707        Pavardenis7707      5                   5.21                
Vardenis7872        Pavardenis7872      5                   5.21                
Vardenis8013        Pavardenis8013      5                   5.21                
Vardenis8245        Pavardenis8245      5                   5.21                
Vardenis8691        Pavardenis8691      5                   5.21                
Vardenis9044        Pavardenis9044      5                   5.21                
Vardenis9574        Pavardenis9574      5                   5.21                
Vardenis9717        Pavardenis9717      5                   5.21                
Vardenis711         Pavardenis711       4                   5.23                
Vardenis1416        Pavardenis1416      6                   5.23                
Vardenis2408        Pavardenis2408      4                   5.23                
Vardenis2918        Pavardenis2918      6                   5.23                
Vardenis3432        Pavardenis3432      4                   5.23                
Vardenis4260        Pavardenis4260      6                   5.23                
Vardenis4815        Pavardenis4815      4                   5.23                
Vardenis4915        Pavardenis4915      6                   5.23                
Vardenis5072        Pavardenis5072      6                   5.23                
Vardenis9206        Pavardenis9206      4                   5.23                
Vardenis9464        Pavardenis9464      6                   5.23                
Vardenis576         Pavardenis576       5                   5.24                
Vardenis775         Pavardenis775       5                   5.24                
Vardenis1302        Pavardenis1302      5                   5.24                
Vardenis2035        Pavardenis2035      5                   5.24                
Vardenis2149        Pavardenis2149      5                   5.24                
Vardenis2172        Pavardenis2172      5                   5.24                
Vardenis2249        Pavardenis2249      5                   5.24                
Vardenis2493        Pavardenis2493      5                   5.24                
Vardenis3172        Pavardenis3172      5                   5.24                
Vardenis3367        Pavardenis3367      5                   5.24                
Vardenis3401        Pavardenis3401      5                   5.24                
Vardenis3469        Pavardenis3469      5                   5.24                
Vardenis3772        Pavardenis3772      5                   5.24                
Vardenis3900        Pavardenis3900      5                   5.24                
Vardenis4612        Pavardenis4612      5                   5.24                
Vardenis4665        Pavardenis4665      5                   5.24                
Vardenis4978        Pavardenis4978      5                   5.24                
Vardenis5114        Pavardenis5114      5                   5.24                
Vardenis5317        Pavardenis5317      5                   5.24                
Vardenis5319        Pavardenis5319      5                   5.24                
Vardenis5432        Pavardenis5432      5                   5.24                
Vardenis5957        Pavardenis5957      5                   5.24                
Vardenis5981        Pavardenis5981      5                   5.24                
Vardenis6340        Pavardenis6340      5                   5.24                
Vardenis6659        Pavardenis6659      5                   5.24                
Vardenis6861        Pavardenis6861      5                   5.24                
Vardenis6901        Pavardenis6901      5                   5.24                
Vardenis7127        Pavardenis7127      5                   5.24                
Vardenis7169        Pavardenis7169      5                   5.24                
Vardenis7177        Pavardenis7177      5                   5.24                
Vardenis8169        Pavardenis8169      5                   5.24                
Vardenis8297        Pavardenis8297      5                   5.24                
Vardenis8541        Pavardenis8541      5                   5.24                
Vardenis9295        Pavardenis9295      5                   5.24                
Vardenis656         Pavardenis656       6                   5.25                
Vardenis2212        Pavardenis2212      6                   5.25                
Vardenis3223        Pavardenis3223      4                   5.25                
Vardenis3903        Pavardenis3903      6                   5.25                
Vardenis7715        Pavardenis7715      6                   5.25                
Vardenis7824        Pavardenis7824      6                   5.25                
Vardenis8904        Pavardenis8904      6                   5.25                
Vardenis148         Pavardenis148       5                   5.27                
Vardenis165         Pavardenis165       5                   5.27                
Vardenis542         Pavardenis542       5                   5.27                
Vardenis562         Pavardenis562       5                   5.27                
Vardenis600         Pavardenis600       5                   5.27                
Vardenis638         Pavardenis638       5                   5.27                
Vardenis1113        Pavardenis1113      5                   5.27                
Vardenis1805        Pavardenis1805      5                   5.27                
Vardenis1839        Pavardenis1839      5                   5.27                
Vardenis2025        Pavardenis2025      5                   5.27                
Vardenis2085        Pavardenis2085      5                   5.27                
Vardenis2738        Pavardenis2738      5                   5.27                
Vardenis2761        Pavardenis2761      5                   5.27                
Vardenis3369        Pavardenis3369      5                   5.27                
Vardenis3960        Pavardenis3960      5                   5.27                
Vardenis4119        Pavardenis4119      5                   5.27                
Vardenis4739        Pavardenis4739      5                   5.27                
Vardenis4912        Pavardenis4912      5                   5.27                
Vardenis5815        Pavardenis5815      5                   5.27                
Vardenis6086        Pavardenis6086      5                   5.27                
Vardenis6123        Pavardenis6123      5                   5.27                
Vardenis6565        Pavardenis6565      5                   5.27                
