Vardas              Pavarde             Egzaminas           Rezultatas          
Vardenis5879        Pavardenis5879      1                   0.6                 
Vardenis3265        Pavardenis3265      1                   0.6                 
Vardenis7681        Pavardenis7681      1                   0.6                 
Vardenis9493        Pavardenis9493      1                   0.6                 
Vardenis1504        Pavardenis1504      1                   0.6                 
Vardenis3128        Pavardenis3128      1                   0.6                 
Vardenis4649        Pavardenis4649      1                   0.6                 
Vardenis5224        Pavardenis5224      1                   0.6                 
Vardenis2412        Pavardenis2412      1                   0.6                 
Vardenis5149        Pavardenis5149      1                   0.6                 
Vardenis8126        Pavardenis8126      1                   0.6                 
Vardenis1684        Pavardenis1684      1                   0.6                 
Vardenis2844        Pavardenis2844      1                   0.6                 
Vardenis3744        Pavardenis3744      1                   0.6                 
Vardenis5039        Pavardenis5039      1                   0.6                 
Vardenis6061        Pavardenis6061      1                   0.6                 
Vardenis8365        Pavardenis8365      1                   0.6                 
Vardenis8410        Pavardenis8410      1                   0.6                 
Vardenis8819        Pavardenis8819      1                   0.6                 
Vardenis365         Pavardenis365       1                   0.6                 
Vardenis3307        Pavardenis3307      1                   0.6                 
Vardenis4120        Pavardenis4120      1                   0.6                 
Vardenis4509        Pavardenis4509      1                   0.6                 
Vardenis5233        Pavardenis5233      1                   0.6                 
Vardenis8360        Pavardenis8360      1                   0.6                 
Vardenis8577        Pavardenis8577      1                   0.6                 
Vardenis3621        Pavardenis3621      1                   0.6                 
Vardenis3632        Pavardenis3632      1                   0.6                 
Vardenis7751        Pavardenis7751      1                   0.6                 
Vardenis1201        Pavardenis1201      1                   0.6                 
Vardenis4019        Pavardenis4019      1                   0.6                 
Vardenis5581        Pavardenis5581      1                   0.6                 
Vardenis6687        Pavardenis6687      1                   0.6                 
Vardenis7069        Pavardenis7069      1                   0.6                 
Vardenis7924        Pavardenis7924      1                   0.6                 
Vardenis9666        Pavardenis9666      1                   0.6                 
Vardenis2014        Pavardenis2014      1                   0.6                 
Vardenis3568        Pavardenis3568      1                   0.6                 
Vardenis4325        Pavardenis4325      1                   0.6                 
Vardenis6010        Pavardenis6010      1                   0.6                 
Vardenis9284        Pavardenis9284      1                   0.6                 
Vardenis66          Pavardenis66        1                   0.6                 
Vardenis2152        Pavardenis2152      1                   0.6                 
Vardenis5181        Pavardenis5181      1                   0.6                 
Vardenis5718        Pavardenis5718      1                   0.6                 
Vardenis5875        Pavardenis5875      1                   0.6                 
Vardenis6023        Pavardenis6023      1                   0.6                 
Vardenis9058        Pavardenis9058      1                   0.6                 
Vardenis9204        Pavardenis9204      1                   0.6                 
Vardenis9777        Pavardenis9777      1                   0.6                 
Vardenis9934        Pavardenis9934      1                   0.6                 
Vardenis1654        Pavardenis1654      1                   0.6                 
Vardenis2331        Pavardenis2331      1                   0.6                 
Vardenis2834        Pavardenis2834      1                   0.6                 
Vardenis6458        Pavardenis6458      1                   0.6                 
Vardenis7895        Pavardenis7895      1                   0.6                 
Vardenis7955        Pavardenis7955      1                   0.6                 
Vardenis2804        Pavardenis2804      1                   0.6                 
Vardenis3688        Pavardenis3688      1                   0.6                 
Vardenis3723        Pavardenis3723      1                   0.6                 
Vardenis4135        Pavardenis4135      1                   0.6                 
Vardenis5469        Pavardenis5469      1                   0.6                 
Vardenis5915        Pavardenis5915      1                   0.6                 
Vardenis6246        Pavardenis6246      1                   0.6                 
Vardenis6989        Pavardenis6989      1                   0.6                 
Vardenis376         Pavardenis376       1                   0.6                 
Vardenis592         Pavardenis592       1                   0.6                 
Vardenis1548        Pavardenis1548      1                   0.6                 
Vardenis1817        Pavardenis1817      1                   0.6                 
Vardenis2012        Pavardenis2012      1                   0.6                 
Vardenis2207        Pavardenis2207      1                   0.6                 
Vardenis3271        Pavardenis3271      1                   0.6                 
Vardenis3377        Pavardenis3377      1                   0.6                 
Vardenis3394        Pavardenis3394      1                   0.6                 
Vardenis3579        Pavardenis3579      1                   0.6                 
Vardenis5034        Pavardenis5034      1                   0.6                 
Vardenis5507        Pavardenis5507      1                   0.6                 
Vardenis5746        Pavardenis5746      1                   0.6                 
Vardenis5991        Pavardenis5991      1                   0.6                 
Vardenis6778        Pavardenis6778      1                   0.6                 
Vardenis6922        Pavardenis6922      1                   0.6                 
Vardenis7188        Pavardenis7188      1                   0.6                 
Vardenis8253        Pavardenis8253      1                   0.6                 
Vardenis8665        Pavardenis8665      1                   0.6                 
Vardenis8737        Pavardenis8737      1                   0.6                 
Vardenis8982        Pavardenis8982      1                   0.6                 
Vardenis9287        Pavardenis9287      1                   0.6                 
Vardenis9758        Pavardenis9758      1                   0.6                 
Vardenis198         Pavardenis198       1                   0.6                 
Vardenis1197        Pavardenis1197      1                   0.6                 
Vardenis2337        Pavardenis2337      1                   0.6                 
Vardenis3074        Pavardenis3074      1                   0.6                 
Vardenis4231        Pavardenis4231      1                   0.6                 
Vardenis4423        Pavardenis4423      1                   0.6                 
Vardenis4996        Pavardenis4996      1                   0.6                 
Vardenis7191        Pavardenis7191      1                   0.6                 
Vardenis7615        Pavardenis7615      1                   0.6                 
Vardenis7896        Pavardenis7896      1                   0.6                 
Vardenis8176        Pavardenis8176      1                   0.6                 
Vardenis9079        Pavardenis9079      1                   0.6                 
Vardenis9156        Pavardenis9156      1                   0.6                 
Vardenis9998        Pavardenis9998      1                   0.6                 
Vardenis91          Pavardenis91        1                   0.6                 
Vardenis354         Pavardenis354       1                   0.6                 
Vardenis800         Pavardenis800       1                   0.6                 
Vardenis1122        Pavardenis1122      1                   0.6                 
Vardenis1313        Pavardenis1313      1                   0.6                 
Vardenis1683        Pavardenis1683      1                   0.6                 
Vardenis1753        Pavardenis1753      1                   0.6                 
Vardenis3742        Pavardenis3742      1                   0.6                 
Vardenis3920        Pavardenis3920      1                   0.6                 
Vardenis4366        Pavardenis4366      1                   0.6                 
Vardenis5105        Pavardenis5105      1                   0.6                 
Vardenis7287        Pavardenis7287      1                   0.6                 
Vardenis7507        Pavardenis7507      1                   0.6                 
Vardenis7684        Pavardenis7684      1                   0.6                 
Vardenis8896        Pavardenis8896      1                   0.6                 
Vardenis9100        Pavardenis9100      1                   0.6                 
Vardenis289         Pavardenis289       1                   0.6                 
Vardenis1185        Pavardenis1185      1                   0.6                 
Vardenis1260        Pavardenis1260      1                   0.6                 
Vardenis1330        Pavardenis1330      1                   0.6                 
Vardenis1445        Pavardenis1445      1                   0.6                 
Vardenis2670        Pavardenis2670      1                   0.6                 
Vardenis2790        Pavardenis2790      1                   0.6                 
Vardenis2803        Pavardenis2803      1                   0.6                 
Vardenis3015        Pavardenis3015      1                   0.6                 
Vardenis3409        Pavardenis3409      1                   0.6                 
Vardenis3475        Pavardenis3475      1                   0.6                 
Vardenis3914        Pavardenis3914      1                   0.6                 
Vardenis4350        Pavardenis4350      1                   0.6                 
Vardenis4813        Pavardenis4813      1                   0.6                 
Vardenis4821        Pavardenis4821      1                   0.6                 
Vardenis4828        Pavardenis4828      1                   0.6                 
Vardenis4896        Pavardenis4896      1                   0.6                 
Vardenis4971        Pavardenis4971      1                   0.6                 
Vardenis5484        Pavardenis5484      1                   0.6                 
Vardenis5613        Pavardenis5613      1                   0.6                 
Vardenis6618        Pavardenis6618      1                   0.6                 
Vardenis6881        Pavardenis6881      1                   0.6                 
Vardenis6936        Pavardenis6936      1                   0.6                 
Vardenis7153        Pavardenis7153      1                   0.6                 
Vardenis7278        Pavardenis7278      1                   0.6                 
Vardenis7346        Pavardenis7346      1                   0.6                 
Vardenis8538        Pavardenis8538      1                   0.6                 
